,gameName,genre,reviewScore,playTime
0,Dying Light,Action,78,96.82
1,Grand Theft Auto IV,Action,82,134.66
2,The Witcher,Role-Playing,77,35.55
3,Half-Life,Shooter,84,24.68
4,Far Cry 3,Shooter,83,108.12
5,The Elder Scrolls V: Skyrim,Role-Playing,86,139.77
6,Middle-Earth: Shadow of Mordor,Action,78,112.75
7,The Witcher 2: Assassins of Kings,Action,82,97.08
8,Metal Gear Solid V: The Phantom Pain,Action,83,314.05
9,Rise of the Tomb Raider,Adventure,80,81.98
10,Dark Souls III,Role-Playing,90,161.4
11,Terraria,Action,85,223.71
12,Batman: Arkham Knight,Action,82,85.36
13,Fallout 4,Role-Playing,76,142.85
14,Dishonored,Action,83,68.9
15,Resident Evil 2,Action,88,45.26
16,Fallout: New Vegas,Role-Playing,87,136.12
17,Left 4 Dead 2,Shooter,80,33.54
18,BioShock 2,Shooter,78,73.42
19,Half-Life 2,Shooter,88,50.27
20,Dead Space,Action,93,35.05
21,Borderlands 2,Shooter,82,153.11
22,Doom,Shooter,85,61.72
23,BioShock Infinite,Shooter,85,84.15
24,Grand Theft Auto V,Action,87,222.5
25,Tomb Raider,Action,81,81.55
26,BioShock,Shooter,85,87.99
27,Portal 2,Shooter,91,42.98
28,The Witcher 3: Wild Hunt,Role-Playing,94,246.7
29,God of War,Action,92,62.27
30,Assassin's Creed: Revelations,Action,75,85.88
31,Journey,Adventure,83,7.71
32,Assassin's Creed: Unity,Action,69,85.57
33,Resident Evil 6,Shooter,64,138.86
34,Quantum Break,Action,75,30.91
35,Deus Ex,Role-Playing,89,71.18
36,Uncharted 4: A Thief's End,Shooter,88,44.28
37,Chrono Trigger,Role-Playing,92,97.74
38,Assassin's Creed: Brotherhood,Action,81,103.26
39,L.A. Noire,Adventure,78,114.02
40,Company of Heroes 2,Strategy,73,15.35
41,Just Cause 2,Action,74,79.22
42,The Wolf Among Us,Adventure,84,58.73
43,South Park: The Stick of Truth,Role-Playing,83,76.86
44,Grand Theft Auto: Vice City,Action,84,98.67
45,XCOM: Enemy Unknown,Strategy,85,123.76
46,Dead Space 2,Shooter,83,44.77
47,Just Cause 3,Action,71,82.43
48,Left 4 Dead,Shooter,79,22.69
49,This War of Mine,Action,77,11.07
50,Sid Meier's Civilization V,Strategy,84,47.33
51,Mass Effect,Role-Playing,84,114.18
52,Assassin's Creed,Adventure,69,72.75
53,Mass Effect 2,Role-Playing,90,166.14
54,Resident Evil 5,Action,72,79.64
55,Halo: The Master Chief Collection,Shooter,86,132.92
56,Metal Gear Rising: Revengeance,Action,82,32.17
57,Alan Wake,Action,79,47.49
58,Brothers: A Tale of Two Sons,Adventure,81,22.09
59,Cities: Skylines,Simulation,78,91.69
60,Saints Row: The Third,Action,79,56.56
61,Rocket League,Sports,80,23.65
62,Darksiders,Action,75,130.03
63,Metro 2033,Shooter,77,29.26
64,Mirror's Edge,Platform,75,33.2
65,Spec Ops: The Line,Shooter,79,32.11
66,Alien: Isolation,Shooter,83,142.41
67,Metal Gear Solid V: Ground Zeroes,Action,73,12.26
68,Star Wars: Knights of the Old Republic,Role-Playing,88,113.76
69,Bully: Scholarship Edition,Action,81,94.77
70,Call of Duty: Black Ops II,Shooter,76,42.22
71,Tomb Raider: Underworld,Action,70,67.56
72,Call of Duty 4: Modern Warfare,Shooter,81,33.25
73,LEGO Marvel Super Heroes,Action,76,96.77
74,LEGO The Hobbit,Action,69,65.14
75,The Talos Principle,Puzzle,85,64.82
76,Super Mario Galaxy,Platform,90,25.55
77,Star Wars Jedi Knight: Jedi Academy,Shooter,78,30.85
78,LEGO Star Wars: The Complete Saga,Action,79,106.24
79,Lara Croft and the Temple of Osiris,Action,68,16.19
80,Final Fantasy X/X-2 HD Remaster,Role-Playing,84,245.22
81,Final Fantasy XIII,Role-Playing,72,240.63
82,Beyond: Two Souls,Adventure,73,43.24
83,Crysis,Shooter,76,61.07
84,Mafia II,Action,80,61.18
85,The Evil Within,Action,75,109.27
86,Assassin's Creed: Rogue,Action,72,76.43
87,The Sims 4,Simulation,72,70.9
88,Hitman: Blood Money,Action,82,63.41
89,Dragon Age: Origins - Ultimate Edition,Role-Playing,88,159.88
90,Final Fantasy VIII,Role-Playing,80,186.54
91,The Binding of Isaac,Action,77,11.73
92,Danganronpa: Trigger Happy Havoc,Misc,82,125.74
93,Heavy Rain,Adventure,78,39.03
94,God of War III,Action,84,29.21
95,Magicka,Role-Playing,70,10.93
96,Counter-Strike: Source,Shooter,76,115.6
97,Max Payne,Shooter,82,40.86
98,Wolfenstein: The Old Blood,Action,74,29.72
99,Bloodborne,Action,92,62.54
100,Company of Heroes,Strategy,81,19.72
101,Call of Duty: Black Ops,Shooter,77,44.75
102,GoldenEye 007,Shooter,83,22.82
103,Final Fantasy IX,Role-Playing,89,249.65
104,S.T.A.L.K.E.R.: Shadow of Chernobyl,Shooter,80,15.37
105,Ryse: Son of Rome,Action,69,19.58
106,F.E.A.R. 3,Shooter,61,18.13
107,Plants vs. Zombies,Strategy,82,39.87
108,Shovel Knight,Platform,85,42.21
109,Sunset Overdrive,Shooter,79,30.8
110,Assassin's Creed III,Action,71,96.68
111,DmC: Devil May Cry,Action,76,48.29
112,Resident Evil: Revelations 2,Action,73,71.4
113,F.E.A.R. 2: Project Origin,Shooter,72,30.73
114,Prison Architect,Action,73,40.95
115,Star Wars: Battlefront II,Shooter,82,30.65
116,The Elder Scrolls III: Morrowind,Role-Playing,85,42.8
117,Ni no Kuni: Wrath of the White Witch,Role-Playing,84,252.81
118,"Warhammer 40,000: Space Marine",Shooter,72,23.98
119,Pillars of Eternity,Role-Playing,79,99.93
120,Stellaris,Strategy,80,110.45
121,Hitman: Absolution,Action,74,48.06
122,Mafia,Action,84,30.65
123,Call of Duty: Modern Warfare 2,Shooter,80,33.03
124,Tales of Berseria,Role-Playing,81,210.15
125,Crysis 2,Action,73,61.89
126,Euro Truck Simulator 2,Action,79,48.93
127,The Darkness II,Shooter,74,29.53
128,Xenoblade Chronicles,Role-Playing,89,142.6
129,Sonic Generations,Platform,77,30.54
130,Max Payne 3,Shooter,80,42.77
131,Total War: Shogun 2,Strategy,80,28.85
132,F.E.A.R.,Shooter,79,35.99
133,Saints Row 2,Action,76,97.98
134,Resident Evil: Revelations,Action,73,63.83
135,Minecraft,Misc,88,586.77
136,Watch Dogs,Action,71,157.52
137,Far Cry 4,Shooter,76,110.57
138,Grand Theft Auto III,Action,76,119.26
139,Yakuza 3,Action,73,102.43
140,Deus Ex: Mankind Divided,Role-Playing,78,71.92
