,Unnamed: 0,gameName,genre,reviewScore,playTime,appID
0,0,Dying Light,Action,78,96.82,239140
1,1,Grand Theft Auto IV,Action,82,134.66,3240220
2,2,The Witcher,Role-Playing,77,35.55,292030
3,3,Half-Life,Shooter,84,24.68,220
4,4,Far Cry 3,Shooter,83,108.12,220240
5,5,The Elder Scrolls V: Skyrim,Role-Playing,86,139.77,489830
6,6,Middle-Earth: Shadow of Mordor,Action,78,112.75,356190
7,7,The Witcher 2: Assassins of Kings,Action,82,97.08,20920
8,8,Metal Gear Solid V: The Phantom Pain,Action,83,314.05,287700
9,9,Rise of the Tomb Raider,Adventure,80,81.98,391220
10,10,Dark Souls III,Role-Playing,90,161.4,374320
11,11,Terraria,Action,85,223.71,105600
12,12,Batman: Arkham Knight,Action,82,85.36,208650
13,13,Fallout 4,Role-Playing,76,142.85,377160
14,14,Dishonored,Action,83,68.9,403640
15,15,Resident Evil 2,Action,88,45.26,883710
16,16,Fallout: New Vegas,Role-Playing,87,136.12,22380
17,17,Left 4 Dead 2,Shooter,80,33.54,550
18,18,BioShock 2,Shooter,78,73.42,409720
19,19,Half-Life 2,Shooter,88,50.27,220
20,20,Dead Space,Action,93,35.05,1693980
21,21,Borderlands 2,Shooter,82,153.11,49520
22,22,Doom,Shooter,85,61.72,782330
23,23,BioShock Infinite,Shooter,85,84.15,8870
24,24,Grand Theft Auto V,Action,87,222.5,3240220
25,25,Tomb Raider,Action,81,81.55,391220
26,26,BioShock,Shooter,85,87.99,409710
27,27,Portal 2,Shooter,91,42.98,620
28,28,The Witcher 3: Wild Hunt,Role-Playing,94,246.7,292030
29,29,God of War,Action,92,62.27,2322010
30,30,Assassin's Creed: Revelations,Action,75,85.88,201870
31,31,Journey,Adventure,83,7.71,3363270
32,32,Assassin's Creed: Unity,Action,69,85.57,289650
33,33,Resident Evil 6,Shooter,64,138.86,221040
34,34,Quantum Break,Action,75,30.91,474960
35,35,Deus Ex,Role-Playing,89,71.18,337000
36,36,Uncharted 4: A Thief's End,Shooter,88,44.28,
37,37,Chrono Trigger,Role-Playing,92,97.74,613830
38,38,Assassin's Creed: Brotherhood,Action,81,103.26,48190
39,39,L.A. Noire,Adventure,78,114.02,110800
40,40,Company of Heroes 2,Strategy,73,15.35,231430
41,41,Just Cause 2,Action,74,79.22,8190
42,42,The Wolf Among Us,Adventure,84,58.73,250320
43,43,South Park: The Stick of Truth,Role-Playing,83,76.86,213670
44,44,Grand Theft Auto: Vice City,Action,84,98.67,1546990
45,45,XCOM: Enemy Unknown,Strategy,85,123.76,200510
46,46,Dead Space 2,Shooter,83,44.77,47780
47,47,Just Cause 3,Action,71,82.43,225540
48,48,Left 4 Dead,Shooter,79,22.69,550
49,49,This War of Mine,Action,77,11.07,282070
50,50,Sid Meier's Civilization V,Strategy,84,47.33,289070
51,51,Mass Effect,Role-Playing,84,114.18,1328670
52,52,Assassin's Creed,Adventure,69,72.75,812140
53,53,Mass Effect 2,Role-Playing,90,166.14,1238020
54,54,Resident Evil 5,Action,72,79.64,21690
55,55,Halo: The Master Chief Collection,Shooter,86,132.92,976730
56,56,Metal Gear Rising: Revengeance,Action,82,32.17,235460
57,57,Alan Wake,Action,79,47.49,108710
58,58,Brothers: A Tale of Two Sons,Adventure,81,22.09,2153350
59,59,Cities: Skylines,Simulation,78,91.69,949230
60,60,Saints Row: The Third,Action,79,56.56,55230
61,61,Rocket League,Sports,80,23.65,
62,62,Darksiders,Action,75,130.03,388410
63,63,Metro 2033,Shooter,77,29.26,286690
64,64,Mirror's Edge,Platform,75,33.2,17410
65,65,Spec Ops: The Line,Shooter,79,32.11,
66,66,Alien: Isolation,Shooter,83,142.41,214490
67,67,Metal Gear Solid V: Ground Zeroes,Action,73,12.26,311340
68,68,Star Wars: Knights of the Old Republic,Role-Playing,88,113.76,208580
69,69,Bully: Scholarship Edition,Action,81,94.77,12200
70,70,Call of Duty: Black Ops II,Shooter,76,42.22,311210
71,71,Tomb Raider: Underworld,Action,70,67.56,8140
72,72,Call of Duty 4: Modern Warfare,Shooter,81,33.25,3595230
73,73,LEGO Marvel Super Heroes,Action,76,96.77,249130
74,74,LEGO The Hobbit,Action,69,65.14,285160
75,75,The Talos Principle,Puzzle,85,64.82,835960
76,76,Super Mario Galaxy,Platform,90,25.55,
77,77,Star Wars Jedi Knight: Jedi Academy,Shooter,78,30.85,6020
78,78,LEGO Star Wars: The Complete Saga,Action,79,106.24,920210
79,79,Lara Croft and the Temple of Osiris,Action,68,16.19,289690
80,80,Final Fantasy X/X-2 HD Remaster,Role-Playing,84,245.22,359870
81,81,Final Fantasy XIII,Role-Playing,72,240.63,292120
82,82,Beyond: Two Souls,Adventure,73,43.24,960990
83,83,Crysis,Shooter,76,61.07,1715130
84,84,Mafia II,Action,80,61.18,360430
85,85,The Evil Within,Action,75,109.27,268050
86,86,Assassin's Creed: Rogue,Action,72,76.43,311560
87,87,The Sims 4,Simulation,72,70.9,1222670
88,88,Hitman: Blood Money,Action,82,63.41,6860
89,89,Dragon Age: Origins - Ultimate Edition,Role-Playing,88,159.88,47810
90,90,Final Fantasy VIII,Role-Playing,80,186.54,1026680
91,91,The Binding of Isaac,Action,77,11.73,250900
92,92,Danganronpa: Trigger Happy Havoc,Misc,82,125.74,413410
93,93,Heavy Rain,Adventure,78,39.03,960910
94,94,God of War III,Action,84,29.21,2322010
95,95,Magicka,Role-Playing,70,10.93,238370
96,96,Counter-Strike: Source,Shooter,76,115.6,240
97,97,Max Payne,Shooter,82,40.86,204100
98,98,Wolfenstein: The Old Blood,Action,74,29.72,350080
99,99,Bloodborne,Action,92,62.54,
100,100,Company of Heroes,Strategy,81,19.72,231430
101,101,Call of Duty: Black Ops,Shooter,77,44.75,311210
102,102,GoldenEye 007,Shooter,83,22.82,
103,103,Final Fantasy IX,Role-Playing,89,249.65,377840
104,104,S.T.A.L.K.E.R.: Shadow of Chernobyl,Shooter,80,15.37,2427410
105,105,Ryse: Son of Rome,Action,69,19.58,302510
106,106,F.E.A.R. 3,Shooter,61,18.13,21100
107,107,Plants vs. Zombies,Strategy,82,39.87,3590
108,108,Shovel Knight,Platform,85,42.21,250760
109,109,Sunset Overdrive,Shooter,79,30.8,847370
110,110,Assassin's Creed III,Action,71,96.68,911400
111,111,DmC: Devil May Cry,Action,76,48.29,601150
112,112,Resident Evil: Revelations 2,Action,73,71.4,883710
113,113,F.E.A.R. 2: Project Origin,Shooter,72,30.73,16450
114,114,Prison Architect,Action,73,40.95,233450
115,115,Star Wars: Battlefront II,Shooter,82,30.65,1237950
116,116,The Elder Scrolls III: Morrowind,Role-Playing,85,42.8,22320
117,117,Ni no Kuni: Wrath of the White Witch,Role-Playing,84,252.81,798460
118,118,"Warhammer 40,000: Space Marine",Shooter,72,23.98,2183900
119,119,Pillars of Eternity,Role-Playing,79,99.93,291650
120,120,Stellaris,Strategy,80,110.45,281990
121,121,Hitman: Absolution,Action,74,48.06,203140
122,122,Mafia,Action,84,30.65,360430
123,123,Call of Duty: Modern Warfare 2,Shooter,80,33.03,3595230
124,124,Tales of Berseria,Role-Playing,81,210.15,429660
125,125,Crysis 2,Action,73,61.89,2096600
126,126,Euro Truck Simulator 2,Action,79,48.93,227300
127,127,The Darkness II,Shooter,74,29.53,67370
128,128,Xenoblade Chronicles,Role-Playing,89,142.6,
129,129,Sonic Generations,Platform,77,30.54,2513280
130,130,Max Payne 3,Shooter,80,42.77,204100
131,131,Total War: Shogun 2,Strategy,80,28.85,214950
132,132,F.E.A.R.,Shooter,79,35.99,223710
133,133,Saints Row 2,Action,76,97.98,9480
134,134,Resident Evil: Revelations,Action,73,63.83,287290
135,135,Minecraft,Misc,88,586.77,1672970
136,136,Watch Dogs,Action,71,157.52,447040
137,137,Far Cry 4,Shooter,76,110.57,298110
138,138,Grand Theft Auto III,Action,76,119.26,3240220
139,139,Yakuza 3,Action,73,102.43,1088710
140,140,Deus Ex: Mankind Divided,Role-Playing,78,71.92,337000
141,141,No Man's Sky,Action,70,138.98,275850
142,142,Batman: Arkham Origins,Action,75,73.05,209000
143,143,Yakuza Kiwami,Adventure,80,109.81,927380
144,144,Final Fantasy VII,Role-Playing,89,256.2,2909400
145,145,Bayonetta,Action,81,94.77,460790
146,146,XCOM 2,Strategy,83,162.55,268500
147,147,Shin Megami Tensei: Persona 3 Portable,Role-Playing,88,113.78,
148,148,Assassin's Creed II,Action,83,130.85,33230
149,149,Borderlands,Shooter,76,102.1,1285190
150,150,Grand Theft Auto: San Andreas,Action,87,237.75,1547000
151,151,Assassin's Creed IV: Black Flag,Action,81,187.78,242050
152,152,Wolfenstein: The New Order,Shooter,80,84.1,201810
153,153,Prey,Shooter,83,88.54,480490
154,154,Payday 2,Shooter,69,71.22,218620
155,155,Psychonauts,Platform,82,95.18,3830
156,156,Resident Evil 4,Action,89,160.26,2050650
157,157,Counter-Strike,Shooter,81,36.72,730
158,158,Trine,Action,74,35.25,690640
159,159,Uncharted: Drake's Fortune,Action,75,23.78,
160,160,Demon's Souls,Role-Playing,86,23.98,
161,161,God of War II,Action,84,23.55,2322010
162,162,Sniper Elite V2,Shooter,70,28.95,63380
163,163,Valkyria Chronicles,Role-Playing,83,62.93,790820
164,164,7 Days to Die,Action,65,123.0,251570
165,165,Alice: Madness Returns,Adventure,75,70.63,19680
166,166,Tomb Raider: Anniversary,Action,76,85.93,8000
167,167,Goat Simulator,Simulation,58,10.26,850190
168,168,The Legend of Zelda: A Link to the Past,Action,88,45.34,
169,169,Tropico 4,Strategy,74,40.72,57690
170,170,The Elder Scrolls Online,Role-Playing,71,223.61,489830
171,171,Final Fantasy VI,Role-Playing,88,140.27,2909400
172,172,Super Mario 64,Platform,86,25.45,
173,173,Call of Duty: Modern Warfare 3,Shooter,73,36.99,3595230
174,174,The Bureau: XCOM Declassified,Shooter,66,31.4,65930
175,175,F.E.A.R. Perseus Mandate,Shooter,68,10.55,
176,176,LEGO Harry Potter: Years 1-4,Action,73,87.32,21130
177,177,Syberia,Action,76,28.88,3660220
178,178,Deus Ex: Human Revolution,Shooter,85,132.0,238010
179,179,"Warhammer 40,000: Dawn of War",Strategy,78,12.42,3556750
180,180,Phoenix Wright: Ace Attorney Trilogy,Adventure,88,169.8,787480
181,181,Ratchet & Clank,Platform,77,20.56,1895880
182,182,Homefront,Shooter,59,17.58,223100
183,183,LEGO Batman 2: DC Super Heroes,Action,73,68.6,213330
184,184,LEGO Batman: The Videogame,Action,73,74.13,21000
185,185,Tomb Raider: Legend,Action,72,44.03,7000
